KO	EC	Pathway	Brite	KO_Name
K13781		ko04974	ko02000	SLC7A8, LAT2; solute carrier family 7 (L-type amino acid transporter), member 8
K13782			ko02000	SLC7A10, ASC1; solute carrier family 7 (D/L-type amino acid transporter), member 10
K13783			ko02000	SLC37A1_2; MFS transporter, OPA family, solute carrier family 37 (glycerol-3-phosphate transporter), member 1/2
K13784				PTMA; prothymosin alpha
K13785			ko04812	TMSB10; thymosin beta 10
K13786	1.16.8.-	ko00860		cobR; cob(II)yrinic acid a,c-diamide reductase
K13787	2.5.1.10;2.5.1.1;2.5.1.29	ko00900	ko01006	idsA; geranylgeranyl diphosphate synthase, type I
K13788	2.3.1.8	ko00720;ko00680;ko00430;ko00620;ko00640		pta; phosphate acetyltransferase
K13789	2.5.1.10;2.5.1.1;2.5.1.29	ko00900	ko01006	GGPS; geranylgeranyl diphosphate synthase, type II
K04001		ko04610;ko05133	ko01002;ko04147	SERPING1, C1INH; C1 inhibitor
K13258	4.2.1.105	ko00943		HIDH; 2-hydroxyisoflavanone dehydratase
K13259	2.1.1.212;2.1.1.46	ko00943		HI4OMT; 2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase / isoflavone 4'-O-methyltransferase
K13252	2.1.3.6			ptcA; putrescine carbamoyltransferase
K13250		ko04141		SSR2; translocon-associated protein subunit beta
K13251		ko04141		SSR3; translocon-associated protein subunit gamma
K13256				psiE; protein PsiE
K13257	1.14.14.87	ko00943	ko00199	CYP93C; 2-hydroxyisoflavanone synthase
K13254	5.6.1.1		ko04131	SPAST; spastin
K04007		ko03267;ko04610;ko05162	ko04147;ko04090	CD46, MCP; membrane cofactor protein
K04006		ko04640;ko05416;ko04610	ko00537;ko04147;ko04090	DAF, CD55; decay accelerating factor
K18451				BCL2L10; Bcl-2-like protein 10
K22979	4.2.3.164			geoA; (+)-eremophilene synthase
K22978	4.2.3.164			STC3; (+)-eremophilene synthase
K22973		ko04061;ko05169	ko03200	BARF1; Lymphocryptovirus secreted protein BARF1
K22972	3.4.19.12	ko05169	ko03200	BPLF1; Lymphocryptovirus large tegment protein deneddylase
K22971	5.5.1.31;5.5.1.32;5.5.1.33			K22971; hapalindole H/12-epi-hapalindole U/12-epi-fischerindole U synthase
K22970	1.1.1.62;1.1.1.270	ko00140		DHRS11; 17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase
K22977			ko03000	acpA; capsule synthesis positive regulator AcpA
K22976			ko03000	atxA; anthrax toxin expression trans-acting positive regulator
K22975		ko05169	ko03200	BILF1; Lymphocryptovirus G-protein coupled receptor BILF1
K22974		ko05169	ko03200	BNLF2A; Lymphocryptovirus protein BNLF2a
K01227	3.2.1.96	ko00511		ENGASE; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
K06719			ko04090	CD300; CD300 antigen
K01220	3.2.1.85	ko00052		E3.2.1.85, lacG; 6-phospho-beta-galactosidase
K09969		ko02010	ko02000	aapJ, bztA; general L-amino acid transport system substrate-binding protein
K09968				K09968; uncharacterized protein
K06715			ko04030;ko04090	PTGDR2, GPR44, CD294; prostaglandin D2 receptor 2
K06714			ko03000	rocR; arginine utilization regulatory protein
K06717	2.4.2.31		ko00537;ko04090	ART4, DO, CD297; ADP-ribosyltransferase 4
K06716	2.4.2.31		ko00537;ko04090	ART1, CD296; ADP-ribosyltransferase 1
K06711	1.14.11.-		ko04990	PH-4; hypoxia-inducible factor prolyl 4-hydroxylase
K06710		ko04672;ko04514	ko04090	ICOSLG, ICOSL, CD275; inducible T-cell co-stimulator ligand
K06713		ko04672;ko05340;ko04514;ko04660	ko04090	ICOS, AILIM, CD278; inducible T-cell co-stimulator
K06712			ko04147;ko04090	BTN, CD277; butyrophilin
K00717	2.4.1.68	ko00513;ko00510;ko05202;ko00533	ko01003	FUT8; glycoprotein 6-alpha-L-fucosyltransferase
K00716	2.4.1.65	ko00601	ko01003	FUT3; galactoside 3(4)-fucosyltransferase 3
K00715	2.4.1.62	ko00604	ko01003	B3GALT4; ganglioside galactosyltransferase
K00714		ko05226;ko05010;ko05224;ko05225;ko04310;ko05022;ko04916;ko04150;ko05165;ko04934;ko05217;ko05205;ko04550;ko05200;ko04390	ko00536	WNT8; wingless-type MMTV integration site family, member 8
K00713	2.4.1.-	ko00540	ko01005	waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase
K00712	2.4.1.52	ko00552	ko01003	tagE; poly(glycerol-phosphate) alpha-glucosyltransferase
K00710	2.4.1.41	ko00512;ko00514	ko01003	GALNT; polypeptide N-acetylgalactosaminyltransferase
K00719	2.4.1.79	ko00603;ko00601	ko01003	B3GALNT1, B3GALT3; galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase
K00718	2.4.1.69	ko00603;ko00601	ko01003;ko04131	FUT1_2; galactoside 2-L-fucosyltransferase 1/2
K01545		ko02020		kdpF; potassium-transporting ATPase KdpF subunit
K19470			ko04990	C1QTNF1_6_8; complement C1q tumor necrosis factor-related protein 1/6/8
K25741				TCN1; transcobalamin-1
K25740				SSC5D; soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
K25743				TWSG1; twisted gastrulation protein 1
K25742				TEPP; testis, prostate and placenta-expressed protein
K25745				VMO1; vitelline membrane outer layer protein 1
K25744				UCMA; unique cartilage matrix-associated protein
K25747				ZG16; zymogen granule membrane protein 16
K25746				VSTM2; V-set and transmembrane domain-containing protein 2
K25749			ko03032	TERB1; telomere repeats-binding bouquet formation protein 1
K25748				ZG16B, PAUF; zymogen granule membrane protein 16B
K22218	2.8.2.20			TPST; protein-tyrosine sulfotransferase
K22219	1.14.14.21			dszC; dibenzothiophene monooxygenase
K22216				ilvD1; dehydratase ilvD1
K22217				K22217; sugar lactone lactonase
K22214	2.8.3.27	ko00640		scpC; propionyl-CoA:succinyl-CoA transferase
K22215	1.1.1.48;1.1.1.120	ko00052		galD; galactose dehydrogenase
K22212	4.1.1.101	ko00620		mleA, mleS; malolactic enzyme
K22213	4.1.1.52			PATG; 6-methylsalicylate decarboxylase
K22210	4.2.1.48	ko00470		DGLUCY; D-glutamate cyclase
K22211	4.2.1.130	ko00620		GLX3, HSP31; D-lactate dehydratase
K24908			ko04812	DIP2B; disco-interacting protein 2 homolog B
K24909				DIP2C; disco-interacting protein 2 homolog C
K24900			ko03000	MIXL1; homeobox protein MIXL1
K24901			ko03000	OTP; homeobox protein orthopedia
K24902			ko03000	RHOXF1; rhox homeobox family member 1
K24903			ko03000	RHOXF2; rhox homeobox family member 2
K24904			ko03000	SEBOX; homeobox protein SEBOX
K24905			ko03000	TPRX1; tetra-peptide repeat homeobox protein 1
K24906		ko00542	ko01005	wekT; O18-antigen biosynthesis rhamnosyltransferase
K24907	6.2.1.1		ko03036	DIP2A; disco-interacting protein 2 homolog A
K17032			ko03100	MIR196C; microRNA 196c
K17033		ko05206	ko03100;ko04147	MIR335; microRNA 335
K17030			ko03100	MIR196A; microRNA 196a
K17031			ko03100	MIR196B; microRNA 196b
K17036		ko05206	ko03100	MIR363; microRNA 363
K17037			ko03100;ko04147	MIR93; microRNA 93
K17034			ko03100;ko04147	MIR106A; microRNA 106a
K17035		ko05206	ko03100	MIR106B; microRNA 106b
K17038		ko05206	ko03100	MIR25; microRNA 25
K17039		ko05206	ko03100;ko04147	MIR32; microRNA 32
K02829	7.1.1.5	ko00190		qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV
K02828	7.1.1.5	ko00190		qoxC; cytochrome aa3-600 menaquinol oxidase subunit III
K02827	7.1.1.5	ko00190		qoxB; cytochrome aa3-600 menaquinol oxidase subunit I
K02826	7.1.1.5	ko00190		qoxA; cytochrome aa3-600 menaquinol oxidase subunit II
K02825	2.4.2.9	ko00240	ko03000	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase
K02824			ko02000	uraA, pyrP; uracil permease
K02823		ko00240		pyrDII; dihydroorotate dehydrogenase electron transfer subunit
K02822	2.7.1.194	ko02060;ko00053	ko02000	ulaB, sgaB; ascorbate PTS system EIIB component
K02821	2.7.1.194	ko02060;ko00053	ko02000	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component
K17788			ko03029	MIC19; MICOS complex subunit MIC19
K17789			ko03029	MIC27; MICOS complex subunit MIC27
K17784			ko03029	MICOS10, MINOS1, MIC10; MICOS complex subunit MIC10
K17785			ko03029	IMMT, MIC60; MICOS complex subunit MIC60
K17786			ko03029	MIC26; MICOS complex subunit MIC26
K17787			ko03029	MIC12; MICOS complex subunit MIC12
K17780			ko03029;ko02000	TIM8; mitochondrial import inner membrane translocase subunit TIM8
K17781			ko03029;ko02000	TIM13; mitochondrial import inner membrane translocase subunit TIM13
K17782			ko03029;ko02000	MIA40, CHCHD4; mitochondrial intermembrane space import and assembly protein 40
K17783	1.8.3.2		ko03029	ERV1, GFER, ALR; mitochondrial FAD-linked sulfhydryl oxidase
K22545	2.1.1.15			mtf2; fatty-acid O-methyltransferase
K08285	2.3.2.27	ko04120	ko04121	TRIM18, MID1; midline 1
K02620		ko05412;ko04934;ko04936;ko05216;ko05215;ko05213;ko04520;ko05210;ko05132;ko04916;ko05217;ko04390;ko05226;ko05224;ko05225;ko04310;ko05221;ko05165;ko05167;ko04550;ko05200	ko03000	TCF7, TCF-1; transcription factor 7
K08287	2.7.12.1			E2.7.12.1; dual-specificity kinase
K16783		ko02010	ko02000	bioN; biotin transport system permease protein
K16782				NEURL2; neuralized-like protein 2
K16781			ko03037	TTC8, BBS8; tetratricopeptide repeat protein 8
K16780			ko03037;ko03036	SSNA1; sjoegren syndrome nuclear autoantigen 1
K16787	7.-.-.-	ko02010	ko02000	ecfA2; energy-coupling factor transport system ATP-binding protein
K16786	7.-.-.-	ko02010	ko02000	ecfA1; energy-coupling factor transport system ATP-binding protein
K16785		ko02010	ko02000	ecfT; energy-coupling factor transport system permease protein
K16784	7.6.2.-	ko02010	ko02000	bioM; biotin transport system ATP-binding protein
K08281	3.5.1.19;3.5.1.-	ko00760		pncA; nicotinamidase/pyrazinamidase
K16789			ko02000	thiT; thiamine transporter
K16788			ko02000	niaX; niacin transporter
K08280	2.3.1.-		ko01005	wbbJ; lipopolysaccharide O-acetyltransferase
K08283			ko04990	COL4A3BP; collagen type IV alpha-3-binding protein
K08282	2.7.11.1			E2.7.11.1; non-specific serine/threonine protein kinase
K20108	2.7.1.208	ko00500;ko02060	ko02000	malT; maltose PTS system EIICB or EIICBA component
K20109	3.4.24.89		ko01002	zmp1; Pro-Pro endopeptidase
K20104		ko04215		EGL1; programmed cell death activator egl-1 EGL-1
K20105		ko04215;ko04361		CED-4; cell death protein 4
K20106		ko04215;ko04361	ko01002	CED-3; cell death protein 3
K20100			ko03041	YTHDC1; YTH domain-containing protein 1
K20101	3.6.4.13		ko03019	DHX34; ATP-dependent RNA helicase DHX34
K20102			ko03019	YTHDF; YTH domain-containing family protein
K20103	3.6.4.13		ko03019	DDX60; ATP-dependent RNA helicase DDX60
K11069		ko02010	ko02000	potD; spermidine/putrescine transport system substrate-binding protein
K11068			ko02042	hlyIII; hemolysin III
K11063		ko02024	ko02042	tcdAB; toxin A/B
K11062			ko02042	entD; probable enterotoxin D
K11061			ko02042	entC; probable enterotoxin C
K11060			ko02042	entB; probable enterotoxin B
K11067	2.3.1.1	ko00220		NAGS; N-acetylglutamate synthase
K11066	3.5.1.28		ko01011	E3.5.1.28D, amiD; N-acetylmuramoyl-L-alanine amidase
K11065	1.11.1.24			tpx; thioredoxin-dependent peroxiredoxin
K11064				MMD; monocyte to macrophage differentiation protein
K10338			ko04121	ASB16; ankyrin repeat and SOCS box protein 16
K10339			ko04121	ASB17; ankyrin repeat and SOCS box protein 17
K10330			ko04121	ASB8; ankyrin repeat and SOCS box protein 8
K10331			ko04121	ASB9; ankyrin repeat and SOCS box protein 9
K10332			ko04121	ASB10; ankyrin repeat and SOCS box protein 10
K10333			ko04121	ASB11; ankyrin repeat and SOCS box protein 11
K10334			ko04121	ASB12; ankyrin repeat and SOCS box protein 12
K10335			ko04121	ASB13; ankyrin repeat and SOCS box protein 13
K10336			ko04121	ASB14; ankyrin repeat and SOCS box protein 14
K10337			ko04121	ASB15; ankyrin repeat and SOCS box protein 15
K23818			ko04990	SRPX; sushi repeat-containing protein SRPX
K21279	2.5.1.132	ko00520		E2.5.1.132; 3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase
K21278	3.1.3.16;3.1.3.48	ko04726;ko05012;ko05418;ko04010	ko01009	DUSP1; dual specificity protein phosphatase 1
K21275	2.5.1.83	ko00900		hexs-b; hexaprenyl-diphosphate synthase large subunit
K21274	2.5.1.83	ko00900		hexs-a; hexaprenyl-diphosphate synthase small subunit
K21277	3.5.2.6	ko01501	ko01504	blaOXA-60; beta-lactamase class D OXA-60
K21276	3.5.2.6	ko01501	ko01504	blaOXA-22; beta-lactamase class D OXA-22
K21271	1.1.1.394	ko00998		auaH; aurachin B dehydrogenase
K21270	1.1.3.49			ChuaMOX; (R)-mandelonitrile oxidase
K21273	2.5.1.88	ko00900		E2.5.1.88; trans,polycis-polyprenyl diphosphate synthase
K21272	1.14.13.222	ko00998		auaG; aurachin C monooxygenase/isomerase
K17814			ko00199	CYP1; cytochrome P450 family 1, invertebrate
K17815	3.1.-.-		ko03400	EXO5; exonuclease V
K17816	3.6.1.55;3.6.1.56		ko03400	NUDT1, MTH1; 8-oxo-dGTP diphosphatase / 2-hydroxy-dATP diphosphatase
K17817	3.6.1.58		ko03400	NUDT18, MTH3; 8-oxo-dGDP phosphatase
K17810	6.3.1.12			asl; D-aspartate ligase
K17811	5.5.1.16			K17811; halimadienyl-diphosphate synthase
K17812			ko00199	CYP1C; cytochrome P450 family 1 subfamily C
K17813			ko00199	CYP1D; cytochrome P450 family 1 subfamily D
K17818	1.1.1.287	ko00040		ARD1; D-arabinitol dehydrogenase (NADP+)
K17819	1.2.1.82	ko00906		carD; beta-apo-4'-carotenal oxygenase
K08568	3.4.18.1	ko04210;ko04142	ko01002	CTSZ; cathepsin X
K08569	3.4.22.-	ko04210;ko04142	ko01002	CTSW; cathepsin W
K08560		ko04934;ko04927	ko03000;ko03310	NR5A1, SF1; steroidogenic factor 1
K08561			ko03000;ko03310	NR6A1, GCNF; germ cell nuclear factor
K08562		ko04927	ko03000;ko03310	NR0B1, DAX1; nuclear receptor subfamily 0 group B member 1
K08563		ko04976	ko03000;ko03310	NR0B2, SHP; nuclear receptor subfamily 0 group B member 2
K08564			ko04131	NYV1; vacuolar v-SNARE NYV1
K08565	3.4.23.-	ko04142	ko01002	NAPSA; napsin-A
K08566	3.4.23.48		ko01002	pla; plasminogen activator
K14549		ko03008	ko03009	UTP15; U3 small nucleolar RNA-associated protein 15
K14548		ko03008	ko03009	UTP4, CIRH1A; U3 small nucleolar RNA-associated protein 4
K19319	3.5.2.6	ko01501	ko01504	blaOXA-134; beta-lactamase class D OXA-134
K19318	3.5.2.6	ko01501	ko01504	blaOXA-213; beta-lactamase class D OXA-213
K14543		ko03013;ko03008;ko03015	ko03019;ko03009	MTR2; mRNA transport regulator MTR2
K19314	2.3.-.-		ko01504	sat3; streptothricin acetyltransferase
K14541	6.3.4.6;3.5.1.54	ko00220;ko00791		DUR1; urea carboxylase / allophanate hydrolase
K14540			ko03009	rbgA; ribosome biogenesis GTPase A
K14547		ko03008	ko03009;ko03016	UTP8; U3 small nucleolar RNA-associated protein 8
K14546		ko03008	ko03009	UTP5, WDR43; U3 small nucleolar RNA-associated protein 5
K14545		ko03008	ko03009	RRP7; ribosomal RNA-processing protein 7
K19312	6.4.1.2;6.4.1.3;2.1.3.15	ko00630;ko00280;ko00640		pccB; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit
K02193	7.6.2.5	ko02010	ko02000	ccmA; heme exporter protein A
K02192				bfd; bacterioferritin-associated ferredoxin
K08135		ko04974	ko00535	COL15A; collagen type XV alpha
K02190	4.99.1.3	ko00860		cbiK; sirohydrochlorin cobaltochelatase
K02197				ccmE; cytochrome c-type biogenesis protein CcmE
K08132		ko04974	ko00535	COL12A; collagen type XII alpha
K13018	2.3.1.201	ko00520;ko00541		wbpD, wlbB; UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase
K13019	5.1.3.23	ko00520;ko00541		wbpI, wlbD; UDP-GlcNAc3NAcA epimerase
K08131		ko04974;ko04151;ko05165;ko04512;ko04510	ko00535	COL9A; collagen type IX alpha
K13010	2.6.1.102	ko00520;ko00541	ko01007	per, rfbE; perosamine synthetase
K13011			ko01005	wbqL; O-antigen biosynthesis protein WbqL
K13012			ko01005	wbqP; O-antigen biosynthesis protein WbqP
K13013			ko01005	wbqV; O-antigen biosynthesis protein WbqV
K13014	3.5.1.-	ko00520;ko01503		arnD; undecaprenyl phosphate-alpha-L-ara4FN deformylase
K13015	1.1.1.136	ko00520;ko00541		wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase
K13016	1.1.1.335	ko00520;ko00541		wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
K13017	2.6.1.98	ko00520;ko00541	ko01007	wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase
K04889		ko05017	ko04040	KCNC3, KV3.3; potassium voltage-gated channel Shaw-related subfamily C member 3
K04888			ko04040	KCNC2, KV3.2; potassium voltage-gated channel Shaw-related subfamily C member 2
K04883			ko04040	KCNAB2; potassium voltage-gated channel Shaker-related subfamily A, beta member 2
K04882			ko04040	KCNAB1; potassium voltage-gated channel Shaker-related subfamily A, beta member 1
K04881			ko04040	KCNA10, KV1.8; potassium voltage-gated channel Shaker-related subfamily A member 10
K04880			ko04040	KCNA7, KV1.7; potassium voltage-gated channel Shaker-related subfamily A member 7
K04887			ko04040	KCNC1, KV3.1; potassium voltage-gated channel Shaw-related subfamily C member 1
K04886			ko04040	KCNB2, KV2.2; potassium voltage-gated channel Shab-related subfamily B member 2
K04885			ko04040	KCNB1, KV2.1; potassium voltage-gated channel Shab-related subfamily B member 1
K04884			ko04040	KCNAB3; potassium voltage-gated channel Shaker-related subfamily A, beta member 3
K23255				pilA; archaeal type IV pilus assembly protein PilA
K23254	7.2.2.15			silP; P-type Ag+ transporter
K23257	1.1.1.-;1.1.1.283	ko00620;ko00640		yvgN; methylglyoxal/glyoxal reductase
K23256	1.3.1.-			curA; NADPH-dependent curcumin reductase
K23251		ko00542	ko01005	wbwC; O104-antigen biosynthesis beta-1,3-galactosyltransferase
K23250		ko00542	ko01005	wbwB; O104-antigen biosynthesis alpha-1,4-galactosyltransferase
K23253			ko03000	putR; PucR family transcriptional regulator, proline-responsive transcriptional activator
K23252	2.4.1.-		ko01003	aglS; dolichol phosphate-mannose mannosyltransferase
K23259	1.1.1.80	ko00650		adh; isopropanol dehydrogenase (NADP+)
K23258	3.6.1.69		ko03400	mutT1; 8-oxo-(d)GTP phosphatase
K09282			ko03000;ko03036	HMGA1; high mobility group AT-hook protein 1
K09283		ko05206;ko05202	ko03000;ko03036	HMGA2; high mobility group AT-hook protein 2
K13906			ko01002	CST11; cystatin-11
K13907			ko01002;ko04147	CSTA_B; cystatin-A/B
K13904			ko01002	CST8; cystatin-8
K13905			ko01002	CST9; cystatin-9
K13902			ko01002	CST6; cystatin-M
K13903			ko01002	CST7; cystatin-F
K13900		ko04970	ko01002	CST4; cystatin-S
K13901		ko04970	ko01002	CST5; cystatin-D
K13908		ko04970;ko04657	ko04131	MUC5B, MG1; mucin-5B
K13909		ko04970	ko04131	MUC7, MG2; mucin-7
K12053			ko02044	comB4; ComB4 competence protein
K12052			ko02044	comB6; ComB6 competence protein
K12051			ko02044	comB7; ComB7 competence protein
K12050			ko02044	comB8; ComB8 competence protein
K12057			ko02044	traF; conjugal transfer pilus assembly protein TraF
K12056			ko02044	traG; conjugal transfer mating pair stabilization protein TraG
K12055			ko02044	K12055, parA; chromosome partitioning related protein ParA
K12054			ko02044	atlA; lytic transglycosylase AtlA
K12059			ko02044	trbC; conjugal transfer pilus assembly protein TrbC
K12058			ko02044	traN; conjugal transfer mating pair stabilization protein TraN
K09288		ko05216;ko05200		CCDC6, PTC; coiled-coil domain-containing protein 6
K11500			ko03036	CENPH; centromere protein H
K11501			ko03036	CENPI; centromere protein I
K11502			ko03036	CENPJ; centromere protein J
K09289		ko05216;ko05200;ko04216		NCOA4, PTC3; nuclear receptor coactivator 4
K11504			ko03036	CENPL; centromere protein L
K11505			ko03036	CENPM; centromere protein M
K11506			ko03036	CENPN; centromere protein N
K11507			ko03036	CENPO; centromere protein O
K11508			ko03036	CENPP; centromere protein P
K11509			ko03036	CENPQ; centromere protein Q
K15089	1.14.14.99	ko00902	ko00199	CYP71D13_15_95; (S)-limonene 3-monooxygenase
K15088	4.2.3.16	ko00902		E4.2.3.16; (4S)-limonene synthase
K15081			ko03400	AMN1; antagonist of mitotic exit network protein 1
K15080			ko03400	SAW1; single-strand annealing weakened protein 1
K15083			ko03400	RAD16; DNA repair protein RAD16
K15082			ko03400	RAD7; DNA repair protein RAD7
K15085			ko02000	SLC25A42; solute carrier family 25, member 42
K15084			ko02000	SLC25A16, GDA, LEU5; solute carrier family 25 (mitochondrial carrier protein), member 16
K15087	4.2.3.26	ko00902		E4.2.3.26; (3R)-linalool synthase
K15086	4.2.3.25	ko00902		TPS14; (3S)-linalool synthase
K00999	2.7.8.11	ko04070;ko00564;ko00562		CDIPT; CDP-diacylglycerol--inositol 3-phosphatidyltransferase
K00998	2.7.8.8	ko00564;ko00260		pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase
K00995	2.7.8.5	ko00564		pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase
K00994	2.7.8.2	ko05231;ko00564;ko00565;ko00440		CHPT1, CPT1; diacylglycerol cholinephosphotransferase
K00997	2.7.8.7	ko00770		acpS; holo-[acyl-carrier protein] synthase
K00996	2.7.8.6		ko01005	rfbP; undecaprenyl-phosphate galactose phosphotransferase
K00991	2.7.7.60	ko00900		ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
K00990	2.7.7.59	ko02020		glnD; [protein-PII] uridylyltransferase
K00993	2.7.8.1	ko00564;ko00565;ko00440		EPT1; ethanolaminephosphotransferase
K00992	2.7.7.99	ko00520		murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase
K19864				ICA1L; islet cell autoantigen 1-like protein
K15333	2.1.1.34		ko03036;ko03016	TRM3, TARBP1; tRNA guanosine-2'-O-methyltransferase
K15332	2.1.1.-		ko03016	TRMT2A; tRNA (uracil-5-)-methyltransferase
K15331	2.1.1.35		ko03016	TRMT2B, TRM2; tRNA (uracil-5-)-methyltransferase
K15337			ko01008	acpK; polyketide biosynthesis acyl carrier protein
K15336	2.1.1.204		ko03016	TRDMT1, DNMT2; tRNA (cytosine38-C5)-methyltransferase
K15335	2.1.1.203		ko03016	NSUN2, TRM4; tRNA (cytosine34-C5)-methyltransferase
K15334	2.1.1.202		ko03016	NCL1, TRM4; multisite-specific tRNA:(cytosine-C5)-methyltransferase
K15338	3.1.-.-		ko03400	GEN1, YEN1; holliday junction resolvase GEN1/YEN1
K26265	2.7.7.48		ko03200	S2; Picobirnaviridae RNA-dependent RNA polymerase
K26264	2.7.7.48		ko03200	S2; Aquareovirus/Orthoreovirus RNA-directed RNA polymerase VP2
K09349			ko03000	NKX5, HMX; homeobox protein Nkx-5
K09348		ko05215;ko05200	ko03000	NKX3-1; homeobox protein Nkx-3.1
K09347			ko03000	NKX2-8; homeobox protein Nkx-2.8
K09346			ko03000	NKX2-6; homeobox protein Nkx-2.6
K09345			ko03000	NKX2-5; homeobox protein Nkx-2.5
K09344			ko03000	NKX2-4; homeobox protein Nkx-2.4
K09343			ko03000	NKX2-3; homeobox protein Nkx-2.3
K09342			ko03000	NKX2-1, TITF1; homeobox protein Nkx-2.1
K09341		ko05166	ko03000	MSX; homeobox protein MSX
K09340		ko05202	ko03000	TLX1, HOX11; T-cell leukemia homeobox protein 1
K25084			ko00537	CSAA; contact site A protein
K26268	2.7.7.48		ko03200	VP1; Birnaviridae RNA-directed RNA polymerase
K01648	2.3.3.8	ko00720;ko00020	ko04147	ACLY; ATP citrate (pro-S)-lyase
K01649	2.3.3.13	ko00290;ko00620		leuA, IMS; 2-isopropylmalate synthase
K01643	2.8.3.10	ko02020		citF; citrate lyase subunit alpha / citrate CoA-transferase
K01640	4.1.3.4	ko04146;ko00650;ko00281;ko00280		HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase
K01641	2.3.3.10	ko00900;ko00650;ko03320;ko00280		HMGCS; hydroxymethylglutaryl-CoA synthase
K01646		ko02020		citD; citrate lyase subunit gamma (acyl carrier protein)
K01647	2.3.3.1	ko00630;ko00020		CS, gltA; citrate synthase
K01644	4.1.3.34	ko02020		citE; citrate lyase subunit beta / citryl-CoA lyase
K01645		ko04310		CER1; cerberus 1
K02597				nifZ; nitrogen fixation protein NifZ
K02596				nifX; nitrogen fixation protein NifX
K02595				nifW; nitrogenase-stabilizing/protective protein
K02594	2.3.3.14	ko00620		nifV; homocitrate synthase NifV
K02593				nifT; nitrogen fixation protein NifT
K02592				nifN; nitrogenase molybdenum-iron protein NifN
K02591	1.18.6.1	ko00625;ko00910		nifK; nitrogenase molybdenum-iron protein beta chain
K02590				nifHD2, nifI2; nitrogen regulatory protein PII 2
K02599		ko04919;ko05020;ko04658;ko01522;ko05224;ko05165;ko04361;ko04320;ko05206;ko04330;ko05200		NOTCH1; Notch 1
K02598			ko02000	nirC; nitrite transporter
K14060				pinR; putative DNA-invertase from lambdoid prophage Rac
K14061				uspF; universal stress protein F
K14062			ko02000	ompN; outer membrane protein N
K14063			ko03000	feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB
K14064				uspC; universal stress protein C
K14065				uspD; universal stress protein D
K14066	2.5.1.1	ko00900	ko01006	GPS; geranyl diphosphate synthase
K14067	6.2.1.9	ko00630;ko00680		mtkA; malate-CoA ligase subunit beta
K14068	1.12.98.3			vhoA, vhtA; methanophenazine hydrogenase, large subunit
K14069	1.12.98.3			vhoC, vhtC; methanophenazine hydrogenase, cytochrome b subunit
K19079		ko02010;ko05150;ko01503;ko02020	ko02000;ko01504	vraF; cationic antimicrobial peptide transport system ATP-binding protein
K06038	4.6.1.14			E4.6.1.14; glycosylphosphatidylinositol diacylglycerol-lyase
K06039				ychN; uncharacterized protein involved in oxidation of intracellular sulfur
K06034	4.1.1.79	ko00680		comD; sulfopyruvate decarboxylase subunit alpha
K06035	4.2.1.69	ko00791		DDI2_3; cyanamide hydratase
K06037	4.2.3.-			THNSL2; O-phospho-L-threonine phospho-lyase
K06030	3.6.5.-	ko05012;ko05022;ko04214;ko04621;ko04137	ko03029;ko04131	MFN2, FZO1; mitofusin 2
K06033	4.1.1.76			E4.1.1.76; arylmalonate decarboxylase
K03644	2.8.1.8	ko00785		lipA, LIAS, LIP1, LIP5; lipoyl synthase
K03645			ko03036;ko03032	seqA; negative modulator of initiation of replication
K03646			ko02000	tolA; colicin import membrane protein
K03647				nrdI; protein involved in ribonucleotide reduction
K03640			ko02000	pal; peptidoglycan-associated lipoprotein
K03641			ko02000	tolB; TolB protein
K03642				rlpA; rare lipoprotein A
K03643			ko02000	lptE, rlpB; LPS-assembly lipoprotein
K03648	3.2.2.27	ko05340;ko03410	ko03400	UNG, UDG; uracil-DNA glycosylase
K03649	3.2.2.28	ko03410	ko03400	mug; double-stranded uracil-DNA glycosylase
K06691		ko05010;ko05012;ko05020;ko05014;ko05017;ko05016;ko05022;ko03050;ko05169	ko03051	RPN13; 26S proteasome regulatory subunit N13
K06692			ko03051	PSMD5; 26S proteasome non-ATPase regulatory subunit 5
